size,elevator,address,rooms,price
270 , con ascensore,"Appartamento in via fetonte, s.n.c, San Siro, Milano",5 ,1.150.000
140 , con ascensore,"Quadrilocale in val cannobina, 6, Baggio, Milano",4 ,270.000
120 , con ascensore,"Trilocale in via privata albona, 8, Baggio, Milano",3 ,230.000
130 , con ascensore,"Trilocale in via Trento, 38, Area Lavanderie-Redecesio, Segrate",3 ,292.500
167 , con ascensore,"Appartamento in via polidoro da caravaggio, 33, Varesina-Testori, Milano",6 ,285.000
167 , con ascensore,"Appartamento in via polidoro da caravaggio, 33, Varesina-Testori, Milano",6 ,275.000
160 , con ascensore,"Appartamento in via giulio cesare procaccini, s.n.c, Cenisio-Sarpi, Milano",5 ,595.000
115 , con ascensore,"Quadrilocale in mar nero, 16, Bisceglie, Milano",4 ,175.000
96 , con ascensore,"Quadrilocale in via giuseppe di vittorio, 22, Novate Milanese",4 ,269.000
100 , con ascensore,"Trilocale in via monreale, 5, Morgantini, Milano",3 ,370.000
100 , con ascensore,"Trilocale in via paolo pallia, Corvetto, Milano",3 ,295.000
320 ,,"Villetta bifamiliare in strada settima, Area Novegro-San Felice, Segrate",9 ,950.000
285 , con ascensore,"Appartamento su due piani in colletta, Martini-Cuoco, Milano",6 ,1.380.000
40 , con ascensore,"Monolocale in piazza papa giovanni paolo ii, 10, Rozzano",,130.000
50 , senza ascensore,"Trilocale in via giacomo matteotti, s.n.c, Centro, Rho",3 ,105.000
70 , con ascensore,"Attico in largo promessi sposi, s.n.c, Chiesa Rossa, Milano",2 ,179.000
95 , con ascensore,"Trilocale in via vallazze, 84, Teodosio-Porpora, Milano",3 ,330.000
70 , con ascensore,"Bilocale in via plezzo, 68, Udine, Milano",2 ,210.000
90 , con ascensore,"Trilocale in san mamete, Crescenzago, Milano",3 ,220.000
175 , senza ascensore,"Attico in via eugenio torelli viollier, Greco-Villaggio dei Giornalisti, Milano",5 ,590.000
90 , con ascensore,"Trilocale in via matteotti, Assago",3 ,199.000
170 , con ascensore,"Quadrilocale in via Giovanni Prati, 12, Portello-Tre Torri, Milano",4 ,1.190.000
60 ,,"Monolocale in isimbardi, Chiesa Rossa, Milano",,189.000
105 , ,"Quadrilocale in via monte grappa, 18, Lucernate-Ghisolfa, Rho",4 ,145.000
112 , con ascensore,"Trilocale in via valpetrosa, Vetra-Missori, Milano",3 ,850.000
85 , con ascensore,"Trilocale in via campania, 21, Indipendenza-Regina Giovanna, Milano",3 ,455.000
335 ,,"Villa in via Alfredo Catalani, Teodosio-Porpora, Milano",7 ,1.390.000
90 , con ascensore,"Attico in via giorgio washington, 109, Solari-Savona-Tortona, Milano",2 ,470.000
170 , con ascensore,Quadrilocale a Buccinasco,4 ,450.000
160 , con ascensore,"Attico in San Vittore-Washington, Milano",3 ,840.000
80 , con ascensore,"Trilocale in Della Burrona, 18, Vimodrone",3 ,169.000
65 , con ascensore,"Attico in via andrea maria ampère, 126, Teodosio-Porpora, Milano",2 ,300.000
85 , con ascensore,"Trilocale in via daniele ranzoni, 7, Morgantini, Milano",3 ,295.000
105 , con ascensore,"Bilocale in Giulietti, s.n.c, Turro, Milano",2 ,248.000
140 , con ascensore,"Appartamento in via gran sasso, 16, Romagna, Milano",5 ,498.000
185 , con ascensore,"Quadrilocale in via antonio kramer, Indipendenza-Regina Giovanna, Milano",4 ,1.490.000
220 , con ascensore,"Quadrilocale in via Felice Casati, 42, Centrale, Milano",4 ,990.000
150 , con ascensore,"Appartamento in piazza diocleziano, 6, Govone, Milano",7 ,490.000
250 ,,"Quadrilocale in via schiaffino simone, 3, Bovisa, Milano",4 ,550.000
130 ,,"Quadrilocale in via privata umberto fracchia, s.n.c, Greco-Villaggio dei Giornalisti, Milano",4 ,430.000
