elevator,rooms,address,price,size
 con ascensore,,"Monolocale in corso di porta nuova, 52, Moscova-Repubblica, Milano",680,27 
,2 ,"Bilocale in via privata catone, 29, Dergano, Milano",700,80 
 con ascensore,3 ,"Trilocale in via giuseppe garibaldi, 94, Cinisello, Cinisello Balsamo",800,88 
 con ascensore,2 ,"Bilocale in via luigi guanella, 4, Precotto, Milano",800,40 
 senza ascensore,3 ,"Trilocale in via privata galeno, 18, Precotto, Milano",950,85 
 con ascensore,2 ,"Bilocale in via beato angelico, 23, Città Studi, Milano",1.000,70 
,2 ,"Bilocale in via pavia, 8, Navigli-Porta Genova, Milano",1.100,53 
 con ascensore,2 ,"Bilocale in via giovanni paisiello, 4, Romagna, Milano",780,55 
 con ascensore,2 ,"Bilocale in via john fitzgerald kennedy, 29, San Donato Milanese",800,50 
 con ascensore,2 ,"Bilocale in via salvatore barzilai, 11, Soderini, Milano",650,75 
 senza ascensore,2 ,"Bilocale in via sebastiano del piombo, 3, Fiera, Milano",1.000,58 
 con ascensore,2 ,"Bilocale in via luigi varanini, 24, Brianza-Pasteur, Milano",730,50 
,7 ,"Casa indipendente in via pescara, 57, Gratosoglio, Milano",1.500,170 
,4 ,Villa a Magenta,1.000,150 
,,"Monolocale in pietro metastasio, 3, Ariosto-Magenta, Milano",500,18 
,2 ,Bilocale a Magenta,500,65 
 con ascensore,2 ,"Bilocale in alberto mario, 38, Fiera, Milano",1.000,60 
 con ascensore,,"Monolocale in gentilino, 11, Bligny-Toscana, Milano",680,25 
,2 ,"Bilocale in via bernardino verro, 33, Vigentino, Milano",1.150,89 
 con ascensore,3 ,Trilocale a Nerviano,630,85 
 con ascensore,,"Monolocale in via garofalo, 5, Romagna, Milano",680,30 
 senza ascensore,2 ,"Bilocale in via Maddalena Giudice Donadoni, 1, Bovisa, Milano",580,65 
 con ascensore,,"Monolocale in via pietro gobetti, 41, Garbagnate Milanese",350,44 
,8 ,"Villetta bifamiliare in via Pietro Mascagni, 4, Sedriano",1.200,250 
,2 ,"Bilocale in via anselmo ronchetti, 43, Pogliano Milanese",550,50 
 con ascensore,2 ,"Bilocale in Bligny-Toscana, Milano",950,45 
,4 ,"Villetta a schiera in via don miglietti, 2, Trezzano Rosa",1.250,200 
 con ascensore,4 ,"Quadrilocale in Indipendenza-Regina Giovanna, Milano",2.266,150 
 con ascensore,4 ,"Quadrilocale in Mercalli-Quadronno, Milano",2.500,160 
 con ascensore,2 ,"Bilocale in Istria, Milano",1.000,70 
 con ascensore,4 ,"Quadrilocale in San Vittore-Washington, Milano",3.000,170 
 con ascensore,5 ,"Appartamento in Moscova-Repubblica, Milano",2.500,190 
 con ascensore,2 ,"Bilocale in corso buenos aires, Centrale, Milano",915,55 
 con ascensore,5 ,"Appartamento in piazza vi febbraio, Portello-Tre Torri, Milano",2.330,170 
 con ascensore,2 ,"Bilocale in corso italia, Vetra-Missori, Milano",1.125,75 
 con ascensore,2 ,"Bilocale in via volterra, San Vittore-Washington, Milano",1.350,75 
 con ascensore,,"Monolocale in Argonne-Corsica, Milano",650,30 
 con ascensore,7 ,"Appartamento in corso venezia, Palestro, Milano",5.000,250 
 con ascensore,6 ,"Appartamento in via gonin, s.n.c, Lorenteggio-Giambellino, Milano",1.400,155 
,8 ,"Villa in via isonzo, s.n.c, Trezzano sul Naviglio",1.900,210 
 senza ascensore,2 ,"Bilocale in via Giovanni Rasori, 12, Ariosto-Magenta, Milano",850,55 
 con ascensore,5 ,"Appartamento in via giuseppe e francesco carlo maggiolini, Palestro, Milano",3.750,270 
 con ascensore,8 ,"Appartamento in via Solferino, Moscova-Repubblica, Milano",5.000,290 
 con ascensore,3 ,"Trilocale in san marco, 36, Moscova-Repubblica, Milano",2.085,80 
 senza ascensore,4 ,"Quadrilocale in Ariosto-Magenta, Milano",4.166,190 
 con ascensore,3 ,"Trilocale in via borgonuovo, Brera-Montenapoleone, Milano",4.000,120 
,7 ,"Casa indipendente in Dante Alighieri, Basiglio",3.750,380 
 ,2 ,"Bilocale in via santa marta, 25, Zona Sant`Ambrogio-Università Cattolica, Milano",1.750,80 
 con ascensore,6 ,"Appartamento su due piani in via dei bossi, 4, Duomo-Castello, Milano",21.000,902 
 con ascensore,2 ,"Bilocale in via rogoredo, 21, Rogoredo-Santa Giulia, Milano",800,52 
 con ascensore,2 ,"Bilocale in Inganni, Milano",950,175 
 con ascensore,3 ,"Trilocale in via dell'unione, Vetra-Missori, Milano",1.950,134 
 con ascensore,3 ,"Trilocale in via solferino, Moscova-Repubblica, Milano",2.400,100 
 con ascensore,5 ,"Appartamento in via ercole oldofredi, Garibaldi-Isola, Milano",2.700,200 
 con ascensore,4 ,"Quadrilocale in Residenza Golfo, Basiglio",1.500,125 
 con ascensore,3 ,"Trilocale in via del vecchio politecnico, s.n.c, Palestro, Milano",2.550,120 
 con ascensore,4 ,"Attico in via venti settembre, 22, Ariosto-Magenta, Milano",1.750,100 
 ,4 ,"Quadrilocale in Duomo-Castello, Milano",2.600,130 
,2 ,"Bilocale in via bruxelles, San Donato Milanese",830,90 
 senza ascensore,2 ,"Bilocale in via viii strada, 40, Area Novegro-San Felice, Segrate",700,65 
 con ascensore,4 ,"Quadrilocale in San Vittore-Washington, Milano",2.390,160 
 con ascensore,2 ,"Attico in via antonio stradivari, 1, Abruzzi, Milano",850,60 
,2 ,"Bilocale in via illirico, 1, Argonne-Corsica, Milano",630,55 
 con ascensore,2 ,"Bilocale in viale Lombardia, 22, Romagna, Milano",830,60 
 con ascensore,5 ,"Appartamento in via gran sasso, 20, Romagna, Milano",1.400,140 
 con ascensore,2 ,"Bilocale in albino, 4, Inganni, Milano",950,85 
 con ascensore,3 ,"Attico in via adolfo wildt, 19, Teodosio-Porpora, Milano",900,55 
 con ascensore,2 ,"Attico in via lambrate, 11, Teodosio-Porpora, Milano",700,60 
 con ascensore,3 ,"Trilocale in via filippo juvara, 12, Romagna, Milano",1.120,75 
,2 ,"Bilocale in via d. galli, s.n.c, Buccinasco",750,70 
 con ascensore,2 ,"Bilocale in via regina giovanna, 32, Indipendenza-Regina Giovanna, Milano",1.500,50 
 con ascensore,3 ,"Trilocale in corso monforte, Palestro, Milano",2.200,100 
 con ascensore,2 ,"Bilocale in corso concordia, Indipendenza-Regina Giovanna, Milano",1.400,60 
 con ascensore,2 ,"Bilocale in via giovanni boccaccio, 11, Ariosto-Magenta, Milano",1.450,68 
 senza ascensore,5 ,"Appartamento in via savona, Navigli-Porta Genova, Milano",3.600,230 
 con ascensore,3 ,"Trilocale in via cassanese, 170, Segrate Centro, Segrate",700,120 
 con ascensore,2 ,"Bilocale in via gian galeazzo, 2, Bligny-Toscana, Milano",980,48 
 con ascensore,3 ,"Trilocale in Vittorio Emanuele-Augusto, Milano",3.083,115 
 con ascensore,4 ,"Attico in via della spiga, 9, Brera-Montenapoleone, Milano",2.500,140 
 con ascensore,3 ,"Trilocale in via gargano, s.n.c, Val di Sole-Fatima, Milano",1.300,85 
 con ascensore,7 ,"Appartamento in via fratelli gabba, s.n.c, Brera-Montenapoleone, Milano",10.000,320 
 con ascensore,5 ,"Appartamento su due piani in via venezia, 1, Cassina de' Pecchi",1.100,180 
,,"Monolocale in via arzaga, 25, Soderini, Milano",780,40 
 con ascensore,5 ,"Appartamento in via san vincenzo, s.n.c, Navigli-Porta Genova, Milano",2.400,180 
 con ascensore,2 ,"Bilocale in via plinio, 22, Abruzzi, Milano",1.050,50 
 con ascensore,2 ,"Bilocale in via plinio, 42, Abruzzi, Milano",950,50 
 con ascensore,4 ,"Quadrilocale in via alfredo soffredini, Precotto, Milano",1.200,110 
 con ascensore,2 ,"Attico in Palestro, Milano",1.300,80 
,2 ,"Bilocale in via giuseppe garibaldi, 4, Corsico",550,55 
,2 ,"Bilocale in via san rocco, 8, Bligny-Toscana, Milano",1.000,65 
 con ascensore,2 ,"Bilocale in via dell'unione, Vetra-Missori, Milano",2.250,80 
 con ascensore,2 ,"Bilocale in via motta, San Vittore-Washington, Milano",2.000,90 
 con ascensore,2 ,"Attico in via conservatorio, Palestro, Milano",2.000,130 
,4 ,"Villetta a schiera in via Togliatti, 10, Motta Visconti",600,200 
 senza ascensore,5 ,"Appartamento su due piani in vico Santa Maria Valle, Vetra-Missori, Milano",3.750,300 
 con ascensore,3 ,"Trilocale in corso magenta, 2, Zona Sant`Ambrogio-Università Cattolica, Milano",2.580,95 
 con ascensore,5 ,"Appartamento in corso magenta, 2, Zona Sant`Ambrogio-Università Cattolica, Milano",3.417,160 
